Subject Name, Condition, Action, Unix Time
0,armsMo + fullVis,start,1730123447.758340
0,armsMo + fullVis,start,1730123494.196820
0,armsMo + fullVis,start,1730129518.860300
0,armsMo + fullVis,start,1730177558.572020
0,armsMo + fullVis,start,1730178270.552500
0,armsMo + fullVis,update,1730178271.818400
0,armsMo + fullVis,update,1730178271.929350
0,armsMo + fullVis,update,1730178272.069190
0,armsMo + fullVis,update,1730178272.193670
0,armsMo + fullVis,update,1730178273.916070
0,armsMo + fullVis,update,1730178274.042310
0,armsMo + fullVis,update,1730178274.167590
0,armsMo + fullVis,update,1730178274.291760
0,armsMo + fullVis,update,1730178274.695630
0,armsMo + fullVis,update,1730178274.818530
0,armsMo + fullVis,update,1730178274.946320
0,armsMo + fullVis,update,1730178275.081630
0,armsMo + fullVis,update,1730178275.195240
0,armsMo + fullVis,update,1730178275.319560
0,armsMo + fullVis,update,1730178275.457750
0,armsMo + fullVis,update,1730178275.584370
0,armsMo + fullVis,update,1730178275.708520
0,armsMo + fullVis,update,1730178275.833560
0,armsMo + fullVis,update,1730178275.972000
0,armsMo + fullVis,update,1730178276.096020
0,armsMo + fullVis,update,1730178276.222480
0,armsMo + fullVis,update,1730178276.348100
0,armsMo + fullVis,update,1730178276.473470
0,armsMo + fullVis,update,1730178276.597280
0,armsMo + fullVis,update,1730178276.722820
0,armsMo + fullVis,update,1730178281.071190
0,armsMo + fullVis,update,1730178281.791630
0,armsMo + fullVis,update,1730178285.640470
0,armsMo + fullVis,update,1730178285.763180
0,armsMo + fullVis,update,1730178285.875660
0,armsMo + fullVis,update,1730178285.999660
0,armsMo + fullVis,update,1730178286.180490
0,armsMo + fullVis,update,1730178286.416460
0,armsMo + fullVis,update,1730178287.625380
0,armsMo + fullVis,update,1730178303.153590
0,armsMo + fullVis,update,1730178303.277600
0,armsMo + fullVis,update,1730178303.403490
0,armsMo + fullVis,update,1730178303.541490
0,armsMo + fullVis,update,1730178303.666320
0,armsMo + fullVis,update,1730178303.792730
