Subject Name,Motion,Condition,Action,Unix Time
sub03,taichi,Mirror,start,1731842528.827170
sub03,taichi,Mirror,end,1731842537.007080
sub03,taichi,Mirror,start,1731842631.781740
sub03,taichi,Mirror,end,1731842639.975440
sub03,taichi,Mirror,start,1731842653.777460
sub03,taichi,Mirror,end,1731842661.915710
sub03,taichi,Multi View,start,1731842746.246340
sub03,taichi,Multi View,end,1731842754.384810
sub03,taichi,Multi View,start,1731842765.453020
sub03,taichi,Multi View,end,1731842773.604550
sub03,taichi,Multi View,start,1731842784.115540
sub03,taichi,Multi View,end,1731842792.336860
sub03,taichi,3PP,start,1731842931.633680
sub03,taichi,3PP,end,1731842939.770700
sub03,taichi,3PP,start,1731842948.811250
sub03,taichi,3PP,end,1731842956.961120
sub03,taichi,3PP,start,1731842965.432760
sub03,taichi,3PP,end,1731842973.583410
sub03,taichi,1PP,start,1731843165.411330
sub03,taichi,1PP,end,1731843173.508210
sub03,taichi,1PP,start,1731843199.991570
sub03,taichi,1PP,end,1731843208.127940
sub03,taichi,1PP,start,1731843231.693620
sub03,taichi,1PP,end,1731843239.775120
