Subject Name, Condition, Action, Unix Time
sub100,armsMo + fullVis,start,1729859544.739000
sub100,armsMo + fullVis,update,1729859550.042140
sub100,armsMo + fullVis,update,1729859550.166500
sub100,armsMo + fullVis,update,1729859551.710070
sub100,armsMo + fullVis,update,1729859551.835180
sub100,armsMo + fullVis,update,1729859551.962080
sub100,armsMo + fullVis,update,1729859552.075390
sub100,armsMo + fullVis,update,1729859552.192720
sub100,armsMo + fullVis,update,1729859552.543430
sub100,armsMo + fullVis,update,1729859552.819760
sub100,armsMo + fullVis,update,1729859552.958660
sub100,armsMo + fullVis,update,1729859555.516450
sub100,armsMo + fullVis,update,1729859555.640840
sub100,armsMo + fullVis,update,1729859555.778890
sub100,armsMo + fullVis,update,1729859555.889190
sub100,armsMo + fullVis,update,1729859557.083790
sub100,armsMo + fullVis,update,1729859557.208410
sub100,armsMo + fullVis,update,1729859557.332670
sub100,armsMo + fullVis,update,1729859557.471070
sub100,armsMo + fullVis,update,1729859557.610450
sub100,armsMo + fullVis,update,1729859557.720860
sub100,armsMo + fullVis,update,1729859558.901560
sub100,armsMo + fullVis,update,1729859559.027670
sub100,armsMo + fullVis,update,1729859559.499410
sub100,armsMo + fullVis,update,1729859559.735730
sub100,armsMo + fullVis,update,1729859559.916180
sub100,armsMo + fullVis,update,1729859560.055970
sub100,armsMo + fullVis,update,1729859560.167150
sub100,armsMo + fullVis,update,1729859560.291760
sub100,armsMo + fullVis,update,1729859560.417210
sub100,armsMo + fullVis,update,1729859560.541390
sub100,armsMo + fullVis,update,1729859560.681420
sub100,armsMo + fullVis,update,1729859560.819690
sub100,armsMo + fullVis,update,1729859560.930970
sub100,armsMo + fullVis,update,1729859561.055380
sub100,armsMo + fullVis,update,1729859561.166440
sub100,armsMo + fullVis,update,1729859561.306350
sub100,armsMo + fullVis,update,1729859561.445050
sub100,armsMo + fullVis,update,1729859561.556640
sub100,armsMo + fullVis,update,1729859561.680470
sub100,armsMo + fullVis,update,1729859561.820000
sub100,armsMo + fullVis,update,1729859561.944930
sub100,armsMo + fullVis,update,1729859562.083900
sub100,armsMo + fullVis,update,1729859562.222600
sub100,armsMo + fullVis,update,1729859562.333390
sub100,armsMo + fullVis,update,1729859562.458790
sub100,armsMo + fullVis,update,1729859562.583640
sub100,armsMo + fullVis,update,1729859562.708450
sub100,armsMo + fullVis,update,1729859562.849140
sub100,armsMo + fullVis,update,1729859562.988310
sub100,armsMo + fullVis,update,1729859563.210710
sub100,armsMo + fullVis,update,1729859564.459900
sub100,armsMo + fullVis,update,1729859565.862160
sub100,armsMo + fullVis,update,1729859566.000530
sub100,armsMo + fullVis,update,1729859568.765000
sub100,armsMo + fullVis,update,1729859568.888040
